college_id,college_name,location,ranking,type,specializations_offered,average_cutoff_gre,average_cutoff_gate,average_cutoff_gmat,average_cutoff_sat,average_cutoff_toefl,average_cutoff_ielts,average_cutoff_gpa,tuition_fee_per_year,financial_aid_offered,application_deadline,program_duration,acceptance_rate,faculty_count,student_to_faculty_ratio,research_output,alumni_network_strength,campus_facilities,international_student_support,internship_opportunities,placement_rate,average_starting_salary,research_funding,industry_connections,accreditation,extracurricular_opportunities,housing_availability,preferred_countries,notable_alumni,program_language
187,College_187,"Berlin, Germany",176,Private,Cyber Security,325,85,785,1535,109,8.4,3.63,36846,No,"December 9, 2024",2 years,46,61,15:1,Low,Strong,"Labs, Libraries, Sports facilities",Yes,No,87,96284,$55M annually,Yes,None,"Sports, Clubs, Hackathons",Yes,Australia,Alumni_94,French
188,College_188,"Berlin, Germany",125,Private,Robotics,294,53,717,1302,87,7.2,2.92,41984,No,"December 15, 2024",1 years,32,481,13:1,High,Weak,"Libraries, Sports fields",No,Yes,61,118377,$84M annually,No,None,"Sports, Music",No,India,Alumni_12,English
189,College_189,"London, UK",79,Private,Artificial Intelligence,303,65,623,1307,111,8.1,3.37,59159,No,"December 8, 2024",1 years,68,469,18:1,Low,Strong,"Dorms, Labs",No,No,81,122352,$35M annually,Yes,None,"Sports, Clubs, Hackathons",No,Germany,Alumni_44,Japanese
190,College_190,"Tokyo, Japan",54,Private,Data Science,296,67,733,1427,95,7.0,3.5,42668,Yes,"December 24, 2024",3 years,85,494,9:1,High,Weak,"Recreational Centers, Labs",Yes,No,93,56758,$98M annually,Yes,None,"Sports, Clubs, Hackathons",Yes,UK,Alumni_79,French
191,College_191,"London, UK",245,Public,Artificial Intelligence,311,78,646,1385,106,7.6,3.93,34573,Yes,"December 24, 2024",2 years,88,279,15:1,High,Medium,"Dorms, Labs",Yes,Yes,69,130286,$24M annually,No,ABET,"Clubs, Music",Yes,Australia,Alumni_90,German
192,College_192,"Berlin, Germany",95,Public,Machine Learning,291,70,718,1215,103,8.5,3.71,43790,No,"December 23, 2024",1 years,43,106,18:1,Low,Weak,"Labs, Libraries, Sports facilities",No,No,78,84176,$88M annually,Yes,ABET,"Clubs, Music",Yes,UK,Alumni_10,Hindi
193,College_193,"London, UK",144,Private,Machine Learning,296,80,686,1365,97,8.8,2.56,56905,Yes,"December 6, 2024",2 years,78,157,16:1,High,Strong,"Recreational Centers, Labs",No,Yes,54,75917,$55M annually,No,ABET,"Sports, Music",No,USA,Alumni_79,Japanese
194,College_194,"California, USA",272,Public,Robotics,290,88,733,1212,92,6.3,3.76,50577,Yes,"December 15, 2024",2 years,32,54,10:1,High,Strong,"Libraries, Sports fields",No,No,71,81748,$99M annually,Yes,None,"Clubs, Music",No,Germany,Alumni_50,Hindi
195,College_195,"London, UK",184,Public,Machine Learning,294,77,681,1463,104,7.4,2.86,53432,No,"December 4, 2024",1 years,16,51,15:1,Medium,Strong,"Labs, Libraries, Sports facilities",Yes,Yes,85,72822,$59M annually,Yes,ABET,"Clubs, Music",Yes,Australia,Alumni_45,Mandarin
196,College_196,"Mumbai, India",299,Public,Robotics,292,61,652,1431,112,7.5,3.73,22988,No,"December 14, 2024",2 years,87,235,10:1,High,Strong,"Libraries, Sports fields",Yes,Yes,66,83747,$53M annually,No,None,"Clubs, Music",Yes,Germany,Alumni_10,Mandarin
197,College_197,"London, UK",294,Public,Data Science,297,81,624,1442,84,7.9,3.03,11603,No,"December 30, 2024",2 years,84,117,7:1,High,Weak,"Labs, Libraries, Sports facilities",Yes,No,60,66536,$63M annually,Yes,None,"Sports, Clubs, Hackathons",Yes,Germany,Alumni_69,English
198,College_198,"Berlin, Germany",274,Private,Mechanical Design,324,90,687,1290,82,6.5,3.34,21059,Yes,"December 31, 2024",1 years,41,423,5:1,Low,Strong,"Dorms, Labs",Yes,No,64,84721,$77M annually,Yes,None,"Clubs, Music",No,India,Alumni_86,Japanese
199,College_199,"Berlin, Germany",47,Public,Cyber Security,313,63,676,1423,85,7.5,3.16,29420,No,"December 6, 2024",4 years,15,149,8:1,Low,Strong,"Dorms, Labs",No,No,81,102635,$78M annually,No,ABET,"Sports, Clubs, Hackathons",Yes,Japan,Alumni_55,Mandarin
200,College_200,"London, UK",6,Private,Machine Learning,290,76,604,1467,87,8.0,3.66,10896,No,"December 11, 2024",4 years,60,369,13:1,High,Weak,"Dorms, Labs",Yes,No,74,61057,$24M annually,Yes,None,"Sports, Clubs, Hackathons",No,Japan,Alumni_56,Hindi
201,College_201,"Berlin, Germany",284,Public,Mechanical Design,292,64,755,1293,114,7.6,3.9,32750,Yes,"December 20, 2024",1 years,79,305,19:1,High,Strong,"Dorms, Labs",Yes,No,58,114428,$36M annually,Yes,None,"Clubs, Music",No,USA,Alumni_35,English
202,College_202,"California, USA",246,Private,Machine Learning,322,71,657,1267,109,6.0,3.64,14035,Yes,"December 14, 2024",3 years,57,116,14:1,Low,Strong,"Recreational Centers, Labs",Yes,No,50,74712,$50M annually,No,ABET,"Clubs, Music",Yes,Australia,Alumni_3,Japanese
203,College_203,"California, USA",35,Private,Data Science,317,85,627,1548,95,6.3,3.94,43793,Yes,"December 8, 2024",3 years,24,232,11:1,Low,Medium,"Recreational Centers, Labs",Yes,No,82,125493,$65M annually,No,ABET,"Sports, Clubs, Hackathons",Yes,Germany,Alumni_44,Hindi
204,College_204,"Tokyo, Japan",187,Public,Machine Learning,340,59,768,1368,107,6.4,2.56,16926,No,"December 18, 2024",3 years,59,238,5:1,Low,Strong,"Labs, Libraries, Sports facilities",No,Yes,54,98081,$58M annually,No,None,"Sports, Clubs, Hackathons",No,Germany,Alumni_79,French
205,College_205,"Mumbai, India",297,Private,Machine Learning,328,58,719,1434,96,7.8,3.36,16886,Yes,"December 18, 2024",4 years,17,51,8:1,Medium,Medium,"Labs, Libraries, Sports facilities",Yes,Yes,94,51208,$89M annually,No,None,"Clubs, Music",No,India,Alumni_1,Japanese
206,College_206,"Sydney, Australia",243,Public,Data Science,324,95,649,1529,90,7.6,3.3,46197,Yes,"December 11, 2024",3 years,75,310,7:1,Medium,Weak,"Labs, Libraries, Sports facilities",No,No,59,72547,$32M annually,Yes,ABET,"Clubs, Music",Yes,Australia,Alumni_98,Mandarin
207,College_207,"Sydney, Australia",275,Public,Data Science,316,78,693,1292,115,7.5,3.34,51328,Yes,"December 23, 2024",4 years,20,334,16:1,High,Medium,"Dorms, Labs",Yes,No,100,74981,$50M annually,Yes,None,"Clubs, Music",Yes,Germany,Alumni_59,Mandarin
208,College_208,"Berlin, Germany",171,Private,Machine Learning,304,74,727,1471,120,6.3,3.9,39387,No,"December 16, 2024",4 years,72,287,18:1,High,Medium,"Libraries, Sports fields",Yes,Yes,89,97877,$10M annually,Yes,ABET,"Sports, Music",Yes,Japan,Alumni_9,English
209,College_209,"California, USA",36,Private,Robotics,326,72,795,1600,103,6.8,3.88,16908,Yes,"December 14, 2024",2 years,57,491,10:1,High,Medium,"Dorms, Labs",Yes,Yes,91,104837,$22M annually,Yes,ABET,"Sports, Clubs, Hackathons",No,Germany,Alumni_45,German
210,College_210,"Berlin, Germany",276,Public,Robotics,325,79,619,1346,97,8.7,3.46,39863,No,"December 18, 2024",1 years,87,224,17:1,High,Weak,"Recreational Centers, Labs",Yes,No,72,97879,$92M annually,No,None,"Sports, Clubs, Hackathons",Yes,USA,Alumni_58,Japanese
211,College_211,"Tokyo, Japan",256,Private,Artificial Intelligence,310,67,607,1270,83,6.9,3.9,20869,No,"December 26, 2024",3 years,43,109,14:1,Medium,Strong,"Libraries, Sports fields",Yes,No,73,108562,$59M annually,Yes,None,"Sports, Music",No,Japan,Alumni_4,French
212,College_212,"California, USA",107,Private,Cyber Security,299,93,743,1557,106,6.3,3.36,46647,Yes,"December 8, 2024",4 years,70,420,17:1,Low,Medium,"Libraries, Sports fields",Yes,Yes,63,139488,$30M annually,Yes,ABET,"Clubs, Music",Yes,UK,Alumni_37,Japanese
213,College_213,"California, USA",104,Public,Mechanical Design,338,80,633,1378,107,6.9,2.62,37341,No,"December 27, 2024",3 years,77,88,14:1,High,Medium,"Labs, Libraries, Sports facilities",No,Yes,66,70137,$11M annually,Yes,None,"Clubs, Music",Yes,India,Alumni_59,Hindi
214,College_214,"Berlin, Germany",126,Private,Artificial Intelligence,315,78,652,1455,91,8.5,3.68,33141,Yes,"December 18, 2024",3 years,67,495,7:1,High,Strong,"Libraries, Sports fields",Yes,No,71,88126,$25M annually,No,None,"Sports, Music",Yes,UK,Alumni_1,Japanese
215,College_215,"Sydney, Australia",53,Public,Cyber Security,295,63,628,1363,92,8.0,3.27,53121,Yes,"December 7, 2024",3 years,25,346,18:1,High,Strong,"Recreational Centers, Labs",Yes,No,74,103084,$82M annually,Yes,None,"Clubs, Music",No,Australia,Alumni_33,French
216,College_216,"London, UK",85,Public,Mechanical Design,301,66,635,1461,86,6.6,3.71,58321,Yes,"December 29, 2024",4 years,38,76,17:1,Medium,Medium,"Libraries, Sports fields",Yes,Yes,55,127953,$80M annually,No,None,"Sports, Clubs, Hackathons",No,Australia,Alumni_29,Mandarin
217,College_217,"Mumbai, India",161,Public,Machine Learning,315,60,620,1570,95,7.6,3.1,24661,Yes,"December 10, 2024",2 years,34,93,5:1,Low,Strong,"Labs, Libraries, Sports facilities",No,No,85,123560,$85M annually,Yes,ABET,"Sports, Clubs, Hackathons",No,UK,Alumni_3,Hindi
218,College_218,"London, UK",42,Private,Mechanical Design,303,70,723,1230,103,8.7,3.48,46949,No,"December 26, 2024",1 years,57,160,7:1,Low,Medium,"Dorms, Labs",Yes,Yes,58,67926,$46M annually,Yes,None,"Clubs, Music",No,UK,Alumni_11,German
219,College_219,"California, USA",16,Public,Data Science,292,88,794,1364,118,7.0,2.98,25324,Yes,"December 8, 2024",1 years,79,72,6:1,High,Medium,"Recreational Centers, Labs",Yes,Yes,95,52644,$47M annually,Yes,None,"Sports, Clubs, Hackathons",Yes,Japan,Alumni_88,French
220,College_220,"California, USA",154,Private,Robotics,328,64,602,1387,111,8.4,3.36,16929,Yes,"December 8, 2024",2 years,44,211,16:1,Low,Weak,"Recreational Centers, Labs",Yes,No,87,110478,$27M annually,Yes,None,"Clubs, Music",No,Germany,Alumni_60,French
221,College_221,"Tokyo, Japan",63,Public,Machine Learning,332,55,790,1375,98,6.0,3.44,30239,Yes,"December 14, 2024",4 years,43,468,13:1,Low,Strong,"Dorms, Labs",Yes,Yes,56,89165,$63M annually,No,ABET,"Sports, Clubs, Hackathons",Yes,UK,Alumni_30,Hindi
222,College_222,"Tokyo, Japan",266,Public,Artificial Intelligence,311,72,666,1550,87,8.4,2.67,10464,No,"December 13, 2024",2 years,84,258,5:1,Medium,Medium,"Libraries, Sports fields",Yes,Yes,94,109965,$92M annually,Yes,None,"Sports, Music",No,Japan,Alumni_46,English
223,College_223,"Tokyo, Japan",140,Public,Mechanical Design,315,61,749,1457,99,7.1,2.89,46830,No,"December 26, 2024",4 years,28,151,16:1,Medium,Medium,"Labs, Libraries, Sports facilities",No,No,86,69317,$81M annually,No,None,"Sports, Music",No,India,Alumni_92,French
224,College_224,"California, USA",33,Private,Cyber Security,332,86,720,1395,80,8.8,2.53,55222,Yes,"December 20, 2024",2 years,12,387,11:1,High,Strong,"Libraries, Sports fields",No,Yes,66,69444,$96M annually,Yes,ABET,"Sports, Clubs, Hackathons",Yes,Japan,Alumni_66,Mandarin
225,College_225,"Mumbai, India",255,Public,Cyber Security,336,73,705,1353,102,6.8,3.51,48513,No,"December 11, 2024",1 years,55,67,13:1,Medium,Strong,"Recreational Centers, Labs",Yes,Yes,69,50202,$90M annually,Yes,None,"Clubs, Music",Yes,USA,Alumni_66,Hindi
226,College_226,"Tokyo, Japan",231,Public,Artificial Intelligence,333,68,745,1414,98,7.9,2.88,33128,No,"December 28, 2024",2 years,63,482,20:1,Medium,Strong,"Libraries, Sports fields",No,No,78,113403,$26M annually,No,ABET,"Clubs, Music",No,USA,Alumni_24,Japanese
227,College_227,"Berlin, Germany",247,Public,Data Science,298,63,617,1513,94,7.6,2.98,30115,No,"December 4, 2024",4 years,89,64,19:1,Medium,Strong,"Recreational Centers, Labs",Yes,Yes,68,61655,$71M annually,Yes,ABET,"Clubs, Music",No,Germany,Alumni_83,Hindi
228,College_228,"London, UK",213,Private,Artificial Intelligence,291,99,721,1288,88,6.7,3.59,28368,No,"December 30, 2024",2 years,72,175,7:1,High,Strong,"Dorms, Labs",No,Yes,78,131195,$96M annually,Yes,None,"Clubs, Music",No,Japan,Alumni_2,Hindi
229,College_229,"California, USA",219,Public,Artificial Intelligence,338,80,706,1303,91,8.1,3.89,39403,Yes,"December 11, 2024",3 years,21,305,11:1,High,Strong,"Labs, Libraries, Sports facilities",No,Yes,98,97112,$26M annually,No,ABET,"Sports, Clubs, Hackathons",No,India,Alumni_18,English
230,College_230,"Sydney, Australia",262,Public,Cyber Security,328,90,791,1323,92,6.0,3.73,32639,Yes,"December 10, 2024",4 years,37,180,8:1,High,Weak,"Labs, Libraries, Sports facilities",No,Yes,85,104458,$32M annually,No,None,"Clubs, Music",Yes,India,Alumni_26,Mandarin
231,College_231,"Berlin, Germany",93,Public,Cyber Security,298,50,766,1394,115,7.4,2.95,19296,Yes,"December 14, 2024",3 years,14,367,7:1,Medium,Strong,"Labs, Libraries, Sports facilities",Yes,No,72,92510,$37M annually,No,None,"Clubs, Music",No,Germany,Alumni_56,English
232,College_232,"Sydney, Australia",186,Private,Mechanical Design,327,62,634,1219,100,9.0,2.6,21578,No,"December 1, 2024",3 years,52,174,16:1,Medium,Medium,"Libraries, Sports fields",Yes,No,82,113141,$69M annually,No,None,"Clubs, Music",No,India,Alumni_36,English
233,College_233,"California, USA",259,Public,Artificial Intelligence,300,72,686,1301,98,8.5,3.44,30940,Yes,"December 14, 2024",1 years,54,299,6:1,High,Weak,"Libraries, Sports fields",Yes,Yes,94,81224,$17M annually,No,None,"Sports, Music",No,UK,Alumni_52,French
234,College_234,"California, USA",222,Public,Cyber Security,325,73,645,1287,97,7.1,3.84,13539,No,"December 31, 2024",4 years,86,288,18:1,Low,Weak,"Dorms, Labs",Yes,No,77,109679,$40M annually,Yes,None,"Sports, Music",No,India,Alumni_72,Japanese
235,College_235,"Mumbai, India",243,Public,Robotics,295,70,623,1237,113,8.9,3.15,37160,Yes,"December 9, 2024",4 years,74,277,14:1,Low,Weak,"Dorms, Labs",Yes,No,61,112060,$75M annually,Yes,None,"Sports, Music",Yes,Australia,Alumni_63,French
236,College_236,"Tokyo, Japan",291,Public,Data Science,294,75,744,1382,88,8.8,3.22,12569,No,"December 26, 2024",3 years,81,425,15:1,Medium,Strong,"Recreational Centers, Labs",No,No,68,78664,$66M annually,No,ABET,"Sports, Clubs, Hackathons",Yes,USA,Alumni_64,German
237,College_237,"California, USA",251,Public,Mechanical Design,305,71,684,1406,103,8.1,2.62,25384,No,"December 16, 2024",3 years,25,271,18:1,High,Medium,"Dorms, Labs",No,Yes,72,79301,$89M annually,No,ABET,"Sports, Music",Yes,Germany,Alumni_44,Japanese
238,College_238,"Sydney, Australia",210,Public,Robotics,318,86,717,1318,92,6.2,2.8,26937,Yes,"December 22, 2024",4 years,32,137,12:1,High,Weak,"Labs, Libraries, Sports facilities",No,Yes,95,58696,$56M annually,No,ABET,"Sports, Clubs, Hackathons",No,USA,Alumni_77,Japanese
239,College_239,"Sydney, Australia",25,Public,Data Science,302,61,635,1439,111,6.9,2.83,26038,Yes,"December 18, 2024",3 years,74,69,12:1,High,Strong,"Dorms, Labs",Yes,No,95,64603,$70M annually,No,None,"Clubs, Music",Yes,USA,Alumni_52,English
240,College_240,"California, USA",99,Private,Mechanical Design,334,54,661,1457,99,8.1,3.12,49066,No,"December 1, 2024",2 years,33,350,20:1,Medium,Medium,"Labs, Libraries, Sports facilities",Yes,No,51,128323,$25M annually,Yes,None,"Sports, Music",Yes,Australia,Alumni_44,Mandarin
241,College_241,"Sydney, Australia",215,Public,Data Science,339,55,606,1452,91,7.9,3.8,48128,Yes,"December 3, 2024",2 years,90,249,7:1,Low,Medium,"Recreational Centers, Labs",Yes,Yes,58,127430,$69M annually,Yes,ABET,"Sports, Clubs, Hackathons",Yes,Germany,Alumni_86,German
242,College_242,"Tokyo, Japan",152,Public,Mechanical Design,322,76,681,1458,109,7.9,2.98,51933,No,"December 10, 2024",1 years,43,315,18:1,High,Weak,"Recreational Centers, Labs",No,No,88,104343,$33M annually,Yes,None,"Clubs, Music",No,India,Alumni_25,English
243,College_243,"Tokyo, Japan",257,Public,Data Science,323,62,623,1240,113,8.9,3.52,12091,No,"December 17, 2024",2 years,41,418,5:1,Medium,Medium,"Libraries, Sports fields",No,Yes,95,99611,$21M annually,No,None,"Clubs, Music",No,Japan,Alumni_7,English
244,College_244,"California, USA",64,Private,Cyber Security,322,60,753,1406,105,8.6,3.26,57935,No,"December 19, 2024",1 years,26,155,7:1,High,Weak,"Recreational Centers, Labs",No,Yes,74,141812,$37M annually,No,None,"Sports, Clubs, Hackathons",Yes,Australia,Alumni_15,Mandarin
245,College_245,"Mumbai, India",172,Private,Cyber Security,306,52,637,1348,91,6.6,3.83,36423,No,"December 26, 2024",1 years,63,422,18:1,High,Medium,"Dorms, Labs",Yes,Yes,95,55876,$34M annually,No,ABET,"Sports, Music",No,Australia,Alumni_39,Hindi
246,College_246,"Sydney, Australia",104,Public,Robotics,303,50,642,1520,120,6.1,3.61,46363,Yes,"December 9, 2024",2 years,66,125,13:1,Low,Weak,"Libraries, Sports fields",No,Yes,63,66310,$35M annually,Yes,None,"Sports, Music",Yes,Germany,Alumni_51,German
247,College_247,"California, USA",165,Public,Robotics,304,89,722,1215,97,8.0,3.89,47407,No,"December 31, 2024",2 years,12,117,15:1,Medium,Weak,"Labs, Libraries, Sports facilities",Yes,No,99,67362,$40M annually,Yes,None,"Sports, Clubs, Hackathons",No,UK,Alumni_68,Mandarin
248,College_248,"London, UK",282,Private,Cyber Security,340,62,602,1281,82,8.7,3.7,22861,No,"December 12, 2024",2 years,46,213,14:1,Low,Medium,"Libraries, Sports fields",Yes,Yes,94,98865,$99M annually,Yes,ABET,"Sports, Clubs, Hackathons",Yes,Japan,Alumni_54,English
249,College_249,"Tokyo, Japan",70,Public,Cyber Security,316,67,783,1334,84,8.5,3.67,39749,No,"December 16, 2024",1 years,10,477,11:1,Low,Weak,"Libraries, Sports fields",No,No,96,99778,$72M annually,Yes,None,"Sports, Clubs, Hackathons",Yes,USA,Alumni_65,English
250,College_250,"London, UK",236,Private,Machine Learning,294,68,606,1437,87,8.0,2.84,50158,Yes,"December 11, 2024",2 years,89,437,15:1,Low,Weak,"Libraries, Sports fields",No,No,56,139933,$58M annually,No,None,"Sports, Music",No,UK,Alumni_29,French
251,College_251,"Tokyo, Japan",121,Private,Cyber Security,300,78,764,1475,100,8.0,3.39,20082,Yes,"December 25, 2024",3 years,27,425,17:1,High,Strong,"Libraries, Sports fields",No,No,78,99462,$51M annually,Yes,ABET,"Clubs, Music",Yes,India,Alumni_20,French
252,College_252,"Sydney, Australia",286,Private,Artificial Intelligence,314,64,670,1406,104,6.8,3.77,10188,Yes,"December 11, 2024",1 years,44,53,19:1,Medium,Weak,"Recreational Centers, Labs",No,No,57,135464,$65M annually,No,None,"Sports, Music",Yes,UK,Alumni_8,English
253,College_253,"Mumbai, India",251,Private,Mechanical Design,292,82,757,1377,115,6.4,3.23,51371,No,"December 8, 2024",4 years,56,381,19:1,Medium,Weak,"Dorms, Labs",No,Yes,71,148757,$100M annually,No,None,"Sports, Clubs, Hackathons",No,India,Alumni_59,French
254,College_254,"Sydney, Australia",120,Private,Robotics,312,80,698,1485,85,7.5,3.42,17999,Yes,"December 18, 2024",1 years,13,152,13:1,Medium,Medium,"Libraries, Sports fields",Yes,Yes,58,78035,$24M annually,Yes,None,"Clubs, Music",No,Australia,Alumni_61,Japanese
255,College_255,"Sydney, Australia",88,Public,Machine Learning,311,59,653,1296,92,7.7,3.53,38236,Yes,"December 1, 2024",4 years,90,354,5:1,Low,Medium,"Labs, Libraries, Sports facilities",Yes,No,90,59541,$36M annually,Yes,None,"Sports, Music",No,India,Alumni_16,German
256,College_256,"California, USA",156,Public,Robotics,337,86,653,1514,113,8.4,3.11,18248,Yes,"December 16, 2024",1 years,25,258,13:1,Medium,Weak,"Recreational Centers, Labs",Yes,No,94,110799,$26M annually,Yes,ABET,"Sports, Music",Yes,Germany,Alumni_26,Mandarin
257,College_257,"Berlin, Germany",155,Public,Machine Learning,339,69,755,1579,95,6.7,3.55,25381,No,"December 18, 2024",3 years,16,456,6:1,High,Medium,"Dorms, Labs",Yes,No,76,51601,$74M annually,Yes,None,"Clubs, Music",Yes,USA,Alumni_84,German
258,College_258,"London, UK",128,Private,Machine Learning,340,62,603,1328,80,6.8,3.82,51840,Yes,"December 1, 2024",1 years,52,406,16:1,Low,Weak,"Labs, Libraries, Sports facilities",No,Yes,65,118278,$71M annually,Yes,ABET,"Clubs, Music",No,USA,Alumni_100,Japanese
259,College_259,"Berlin, Germany",69,Private,Mechanical Design,338,82,723,1524,96,8.7,3.43,17433,Yes,"December 26, 2024",4 years,81,146,9:1,High,Medium,"Recreational Centers, Labs",Yes,No,77,131632,$10M annually,No,ABET,"Sports, Music",Yes,USA,Alumni_1,English
260,College_260,"Sydney, Australia",130,Private,Cyber Security,316,69,713,1417,98,8.8,3.37,17795,Yes,"December 14, 2024",1 years,27,397,11:1,High,Weak,"Recreational Centers, Labs",No,Yes,84,105758,$96M annually,Yes,None,"Sports, Clubs, Hackathons",No,Germany,Alumni_3,French
261,College_261,"Tokyo, Japan",250,Private,Artificial Intelligence,316,51,756,1590,82,8.2,2.99,32160,No,"December 1, 2024",4 years,39,362,10:1,High,Strong,"Dorms, Labs",No,No,59,109857,$33M annually,Yes,ABET,"Sports, Music",Yes,USA,Alumni_15,Japanese
262,College_262,"Mumbai, India",263,Public,Robotics,330,63,777,1470,84,8.0,3.79,14607,No,"December 28, 2024",2 years,50,415,17:1,Medium,Weak,"Labs, Libraries, Sports facilities",No,No,71,51022,$55M annually,Yes,ABET,"Sports, Music",Yes,Australia,Alumni_82,French
263,College_263,"Mumbai, India",147,Public,Mechanical Design,294,90,646,1244,87,6.8,3.39,10754,No,"December 14, 2024",1 years,53,253,7:1,Low,Strong,"Recreational Centers, Labs",Yes,No,59,80649,$78M annually,No,ABET,"Sports, Clubs, Hackathons",Yes,USA,Alumni_12,Hindi
264,College_264,"Berlin, Germany",200,Public,Mechanical Design,320,67,702,1317,104,6.5,3.39,50439,Yes,"December 4, 2024",2 years,54,151,10:1,Medium,Strong,"Recreational Centers, Labs",No,Yes,65,102911,$72M annually,Yes,ABET,"Sports, Music",No,Australia,Alumni_72,Japanese
265,College_265,"Mumbai, India",199,Private,Artificial Intelligence,306,85,733,1439,84,7.8,3.59,12092,No,"December 13, 2024",2 years,76,300,8:1,Low,Strong,"Recreational Centers, Labs",No,Yes,63,85209,$34M annually,Yes,ABET,"Sports, Music",Yes,UK,Alumni_1,German
266,College_266,"California, USA",251,Public,Data Science,328,77,658,1459,87,6.6,2.75,29222,No,"December 12, 2024",1 years,33,235,8:1,Medium,Strong,"Libraries, Sports fields",No,No,88,123854,$67M annually,Yes,None,"Clubs, Music",No,Japan,Alumni_59,English
267,College_267,"London, UK",198,Public,Mechanical Design,327,51,632,1268,90,8.0,3.52,55678,No,"December 7, 2024",1 years,67,430,6:1,High,Strong,"Recreational Centers, Labs",Yes,No,78,109585,$100M annually,No,ABET,"Sports, Music",No,India,Alumni_27,Japanese
268,College_268,"London, UK",178,Private,Data Science,318,70,684,1592,110,7.9,2.57,15212,No,"December 1, 2024",1 years,39,491,18:1,Medium,Strong,"Labs, Libraries, Sports facilities",No,No,96,63955,$80M annually,No,ABET,"Sports, Clubs, Hackathons",No,India,Alumni_92,German
269,College_269,"Berlin, Germany",108,Public,Data Science,294,51,614,1428,112,8.8,3.93,47542,Yes,"December 16, 2024",4 years,34,465,14:1,Low,Strong,"Recreational Centers, Labs",No,No,90,63102,$69M annually,Yes,ABET,"Sports, Clubs, Hackathons",Yes,Australia,Alumni_74,Mandarin
270,College_270,"Berlin, Germany",115,Public,Mechanical Design,314,98,723,1532,80,6.9,3.41,49845,Yes,"December 13, 2024",1 years,64,322,13:1,Low,Medium,"Labs, Libraries, Sports facilities",No,Yes,89,113821,$66M annually,Yes,None,"Clubs, Music",No,Australia,Alumni_37,Mandarin
271,College_271,"Tokyo, Japan",12,Public,Robotics,325,94,729,1275,118,8.1,3.11,36928,Yes,"December 18, 2024",3 years,38,297,18:1,High,Weak,"Dorms, Labs",Yes,Yes,83,146327,$18M annually,Yes,None,"Sports, Music",No,USA,Alumni_72,German
272,College_272,"Tokyo, Japan",170,Public,Cyber Security,309,91,776,1511,102,8.4,3.18,26757,No,"December 28, 2024",2 years,27,209,20:1,High,Strong,"Recreational Centers, Labs",Yes,Yes,81,106989,$56M annually,No,None,"Clubs, Music",No,Germany,Alumni_20,Hindi
273,College_273,"California, USA",131,Private,Machine Learning,313,94,728,1202,114,6.5,3.91,59967,No,"December 16, 2024",2 years,61,188,12:1,Medium,Medium,"Libraries, Sports fields",No,No,92,96071,$58M annually,Yes,ABET,"Clubs, Music",No,Japan,Alumni_67,Hindi
274,College_274,"Mumbai, India",238,Public,Robotics,295,56,776,1412,115,9.0,3.87,21907,Yes,"December 11, 2024",1 years,21,458,11:1,Medium,Strong,"Recreational Centers, Labs",Yes,No,80,103104,$26M annually,Yes,ABET,"Clubs, Music",Yes,Japan,Alumni_13,Mandarin
275,College_275,"Mumbai, India",154,Public,Data Science,301,68,620,1471,119,6.3,2.64,28709,No,"December 21, 2024",3 years,38,401,6:1,Medium,Medium,"Dorms, Labs",Yes,No,54,99845,$87M annually,No,ABET,"Sports, Music",No,UK,Alumni_75,German
276,College_276,"California, USA",182,Private,Robotics,322,76,674,1207,115,8.8,3.65,21360,No,"December 6, 2024",3 years,16,381,5:1,Medium,Weak,"Labs, Libraries, Sports facilities",No,Yes,50,70919,$99M annually,No,ABET,"Sports, Clubs, Hackathons",No,Germany,Alumni_7,Hindi
277,College_277,"Berlin, Germany",190,Public,Cyber Security,292,86,636,1551,87,7.3,3.07,25168,No,"December 23, 2024",1 years,77,162,10:1,Medium,Medium,"Libraries, Sports fields",Yes,No,52,103509,$41M annually,Yes,ABET,"Sports, Clubs, Hackathons",No,Japan,Alumni_57,Japanese
278,College_278,"Tokyo, Japan",121,Public,Data Science,327,62,749,1440,90,6.6,3.88,22053,Yes,"December 14, 2024",3 years,24,165,16:1,High,Strong,"Labs, Libraries, Sports facilities",Yes,No,84,125725,$23M annually,Yes,None,"Sports, Music",No,Germany,Alumni_90,German
279,College_279,"Sydney, Australia",61,Public,Mechanical Design,298,59,617,1253,97,6.7,3.34,50608,No,"December 21, 2024",1 years,69,173,9:1,Medium,Strong,"Recreational Centers, Labs",Yes,No,52,119930,$68M annually,Yes,ABET,"Sports, Clubs, Hackathons",Yes,UK,Alumni_17,English
280,College_280,"Berlin, Germany",130,Private,Robotics,339,63,687,1448,115,7.9,3.13,23972,No,"December 8, 2024",2 years,12,73,7:1,High,Strong,"Recreational Centers, Labs",No,Yes,78,70946,$84M annually,No,None,"Sports, Music",Yes,Germany,Alumni_39,Japanese
281,College_281,"California, USA",125,Private,Data Science,328,59,621,1262,102,8.1,3.37,50667,No,"December 27, 2024",4 years,37,109,5:1,Low,Medium,"Dorms, Labs",No,No,85,91828,$81M annually,No,None,"Sports, Clubs, Hackathons",No,Japan,Alumni_78,German
